Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*4/*14,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*15,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*16,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*17,,Indeterminate,none
*4/*18,,Indeterminate,none
*4/*19,,Indeterminate,none
*4/*20,,Indeterminate,none
*4/*21,,Indeterminate,none
*4/*22,,Indeterminate,none
*4/*23,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*24,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*25,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*26,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*27,,Indeterminate,none
*4/*28,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*29,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*30,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*31,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*32,,Indeterminate,none
*4/*33,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*34,,Indeterminate,none
*4/*35,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*36,,Indeterminate,none
*4/*37,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*38,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*39,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*40,,Indeterminate,none
*4/*41,,Indeterminate,none
*4/*42,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*43,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*44,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*45,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*46,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*47,,Indeterminate,none
*4/*48,,Indeterminate,none
*4/*49,,Indeterminate,none
*4/*50,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*51,,Indeterminate,none
*4/*52,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*4/*53,,Indeterminate,none
*4/*54,,Indeterminate,none
*4/*55,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*56,,Indeterminate,none
*4/*57,,Indeterminate,none
*4/*58,,Indeterminate,none
*4/*59,,Indeterminate,none
*4/*60,,Indeterminate,none
*4/*61,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*4/*62,,Indeterminate,none
*4/*63,,Indeterminate,none
*4/*64,,Indeterminate,none
*4/*65,,Indeterminate,none
*4/*66,,Indeterminate,none
*4/*67,,Indeterminate,none
*4/*68,,Indeterminate,none
*4/*69,,Indeterminate,none
*4/*70,,Indeterminate,none
*4/*71,,Indeterminate,none
*4/*72,,Indeterminate,none
*4/*73,,Indeterminate,none
*4/*74,,Indeterminate,none
*4/*75,,Indeterminate,none
*5/*5,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*6,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*7,,Indeterminate,none
*5/*8,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*9,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*10,,Indeterminate,none
*5/*11,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*12,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*13,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*14,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*15,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*16,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*17,,Indeterminate,none
*5/*18,,Indeterminate,none
*5/*19,,Indeterminate,none
*5/*20,,Indeterminate,none
*5/*21,,Indeterminate,none
*5/*22,,Indeterminate,none
*5/*23,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*24,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*25,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*26,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*27,,Indeterminate,none
*5/*28,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*29,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*30,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*31,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*32,,Indeterminate,none
*5/*33,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*34,,Indeterminate,none
*5/*35,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*36,,Indeterminate,none
*5/*37,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*38,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*39,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*40,,Indeterminate,none
*5/*41,,Indeterminate,none
*5/*42,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*43,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*44,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*45,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*46,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*47,,Indeterminate,none
*5/*48,,Indeterminate,none
*5/*49,,Indeterminate,none
*5/*50,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*51,,Indeterminate,none
*5/*52,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*5/*53,,Indeterminate,none
*5/*54,,Indeterminate,none
*5/*55,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*56,,Indeterminate,none
*5/*57,,Indeterminate,none
*5/*58,,Indeterminate,none
*5/*59,,Indeterminate,none
*5/*60,,Indeterminate,none
*5/*61,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*5/*62,,Indeterminate,none
*5/*63,,Indeterminate,none
*5/*64,,Indeterminate,none
*5/*65,,Indeterminate,none
*5/*66,,Indeterminate,none
*5/*67,,Indeterminate,none
*5/*68,,Indeterminate,none
*5/*69,,Indeterminate,none
*5/*70,,Indeterminate,none
*5/*71,,Indeterminate,none
*5/*72,,Indeterminate,none
*5/*73,,Indeterminate,none
*5/*74,,Indeterminate,none
*5/*75,,Indeterminate,none
*6/*6,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*7,,Indeterminate,none
*6/*8,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*9,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*6/*10,,Indeterminate,none
*6/*11,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*12,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*13,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*14,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*15,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*16,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*17,,Indeterminate,none
*6/*18,,Indeterminate,none
*6/*19,,Indeterminate,none
*6/*20,,Indeterminate,none
*6/*21,,Indeterminate,none
*6/*22,,Indeterminate,none
*6/*23,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*24,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*25,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*26,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*27,,Indeterminate,none
*6/*28,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*29,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*30,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*31,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*32,,Indeterminate,none
*6/*33,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*34,,Indeterminate,none
*6/*35,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*36,,Indeterminate,none
*6/*37,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*38,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*39,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*40,,Indeterminate,none
*6/*41,,Indeterminate,none
*6/*42,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*43,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*44,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*45,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*46,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*47,,Indeterminate,none
*6/*48,,Indeterminate,none
*6/*49,,Indeterminate,none
*6/*50,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*51,,Indeterminate,none
*6/*52,0.0,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*53,,Indeterminate,none
*6/*54,,Indeterminate,none
*6/*55,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*56,,Indeterminate,none
*6/*57,,Indeterminate,none
*6/*58,,Indeterminate,none
*6/*59,,Indeterminate,none
*6/*60,,Indeterminate,none
*6/*61,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*6/*62,,Indeterminate,none
*6/*63,,Indeterminate,none
*6/*64,,Indeterminate,none
*6/*65,,Indeterminate,none
*6/*66,,Indeterminate,none
*6/*67,,Indeterminate,none
*6/*68,,Indeterminate,none
*6/*69,,Indeterminate,none
*6/*70,,Indeterminate,none
*6/*71,,Indeterminate,none
*6/*72,,Indeterminate,none
*6/*73,,Indeterminate,none
*6/*74,,Indeterminate,none
*6/*75,,Indeterminate,none
*7/*7,,Indeterminate,none
*7/*8,,Indeterminate,none
*7/*9,,Indeterminate,none
*7/*10,,Indeterminate,none
*7/*11,,Indeterminate,none
*7/*12,,Indeterminate,none
*7/*13,,Indeterminate,none
*7/*14,,Indeterminate,none
*7/*15,,Indeterminate,none
*7/*16,,Indeterminate,none
*7/*17,,Indeterminate,none
*7/*18,,Indeterminate,none
*7/*19,,Indeterminate,none
*7/*20,,Indeterminate,none
*7/*21,,Indeterminate,none
*7/*22,,Indeterminate,none
*7/*23,,Indeterminate,none
*7/*24,,Indeterminate,none
*7/*25,,Indeterminate,none
*7/*26,,Indeterminate,none
*7/*27,,Indeterminate,none
*7/*28,,Indeterminate,none
*7/*29,,Indeterminate,none
*7/*30,,Indeterminate,none
*7/*31,,Indeterminate,none
*7/*32,,Indeterminate,none
*7/*33,,Indeterminate,none
*7/*34,,Indeterminate,none
*7/*35,,Indeterminate,none
*7/*36,,Indeterminate,none
*7/*37,,Indeterminate,none
*7/*38,,Indeterminate,none
*7/*39,,Indeterminate,none
*7/*40,,Indeterminate,none
*7/*41,,Indeterminate,none
*7/*42,,Indeterminate,none
*7/*43,,Indeterminate,none
*7/*44,,Indeterminate,none
*7/*45,,Indeterminate,none
*7/*46,,Indeterminate,none
*7/*47,,Indeterminate,none
*7/*48,,Indeterminate,none
*7/*49,,Indeterminate,none
*7/*50,,Indeterminate,none
*7/*51,,Indeterminate,none
*7/*52,,Indeterminate,none
*7/*53,,Indeterminate,none
*7/*54,,Indeterminate,none
*7/*55,,Indeterminate,none
*7/*56,,Indeterminate,none
*7/*57,,Indeterminate,none
*7/*58,,Indeterminate,none
*7/*59,,Indeterminate,none
*7/*60,,Indeterminate,none
*7/*61,,Indeterminate,none
*7/*62,,Indeterminate,none
*7/*63,,Indeterminate,none
*7/*64,,Indeterminate,none
*7/*65,,Indeterminate,none
*7/*66,,Indeterminate,none
*7/*67,,Indeterminate,none
*7/*68,,Indeterminate,none
*7/*69,,Indeterminate,none
*7/*70,,Indeterminate,none
*7/*71,,Indeterminate,none
*7/*72,,Indeterminate,none
*7/*73,,Indeterminate,none
*7/*74,,Indeterminate,none
*7/*75,,Indeterminate,none
*8/*8,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*9,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*10,,Indeterminate,none
*8/*11,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*12,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*13,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*14,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*15,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*16,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*17,,Indeterminate,none
*8/*18,,Indeterminate,none
*8/*19,,Indeterminate,none
*8/*20,,Indeterminate,none
*8/*21,,Indeterminate,none
*8/*22,,Indeterminate,none
*8/*23,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*24,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*25,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*26,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*27,,Indeterminate,none
*8/*28,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*29,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*30,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*31,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*32,,Indeterminate,none
*8/*33,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*34,,Indeterminate,none
*8/*35,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*36,,Indeterminate,none
*8/*37,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*38,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*39,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*40,,Indeterminate,none
*8/*41,,Indeterminate,none
*8/*42,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*43,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*44,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*45,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*46,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*47,,Indeterminate,none
*8/*48,,Indeterminate,none
*8/*49,,Indeterminate,none
*8/*50,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*51,,Indeterminate,none
*8/*52,0.5,Poor Metabolizer,Abnormal/Priority/High Risk
*8/*53,,Indeterminate,none
*8/*54,,Indeterminate,none
*8/*55,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*56,,Indeterminate,none
*8/*57,,Indeterminate,none
*8/*58,,Indeterminate,none
*8/*59,,Indeterminate,none
*8/*60,,Indeterminate,none
*8/*61,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*8/*62,,Indeterminate,none
*8/*63,,Indeterminate,none
*8/*64,,Indeterminate,none
*8/*65,,Indeterminate,none
*8/*66,,Indeterminate,none
*8/*67,,Indeterminate,none
*8/*68,,Indeterminate,none
*8/*69,,Indeterminate,none
*8/*70,,Indeterminate,none
*8/*71,,Indeterminate,none
*8/*72,,Indeterminate,none
*8/*73,,Indeterminate,none
*8/*74,,Indeterminate,none
*8/*75,,Indeterminate,none
*9/*9,2.0,Normal Metabolizer,Normal/Routine/Low Risk
*9/*10,,Indeterminate,none
*9/*11,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
*9/*12,1.5,Intermediate Metabolizer,Abnormal/Priority/High Risk
