Diplotype,Activity Score,Coded Diplotype/Phenotype Summary,EHR Priority Notation
*1/*19,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*20,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*21,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*22,,Indeterminate,none
*1/*23,,Indeterminate,none
*1/*24,,Indeterminate,none
*1/*25,,Indeterminate,none
*1/*26,,Indeterminate,none
*1/*27,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*27x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*28,,Indeterminate,none
*1/*28x2,,Indeterminate,none
*1/*29,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*29x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*30,,Indeterminate,none
*1/*31,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*32,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*33,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*34,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*35,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*35x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*36,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*36+*10,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*36+*10x2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*36x2,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*36x2+*10,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*36x2+*10x2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*37,,Indeterminate,none
*1/*38,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*39,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*40,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*41,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*41x2,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*41x3,1.75,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*42,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*43,,Indeterminate,none
*1/*43x2,,Indeterminate,none
*1/*44,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*45,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*45x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1/*46,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*47,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*48,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*49,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*50,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*51,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*52,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*53,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*54,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*55,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*56,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*58,,Indeterminate,none
*1/*59,1.5,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*60,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*61,,Indeterminate,none
*1/*62,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*63,,Indeterminate,none
*1/*64,,Indeterminate,none
*1/*65,,Indeterminate,none
*1/*68,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*68+*2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*68+*4,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*69,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*70,,Indeterminate,none
*1/*71,,Indeterminate,none
*1/*72,,Indeterminate,none
*1/*73,,Indeterminate,none
*1/*74,,Indeterminate,none
*1/*75,,Indeterminate,none
*1/*81,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*82,,Indeterminate,none
*1/*83,,Indeterminate,none
*1/*84,,Indeterminate,none
*1/*85,,Indeterminate,none
*1/*86,,Indeterminate,none
*1/*87,,Indeterminate,none
*1/*88,,Indeterminate,none
*1/*89,,Indeterminate,none
*1/*90,,Indeterminate,none
*1/*91,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*92,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*93,,Indeterminate,none
*1/*94,,Indeterminate,none
*1/*95,,Indeterminate,none
*1/*96,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*97,,Indeterminate,none
*1/*98,,Indeterminate,none
*1/*99,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*100,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*101,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*102,,Indeterminate,none
*1/*103,,Indeterminate,none
*1/*104,,Indeterminate,none
*1/*105,,Indeterminate,none
*1/*106,,Indeterminate,none
*1/*107,,Indeterminate,none
*1/*108,,Indeterminate,none
*1/*109,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*110,,Indeterminate,none
*1/*111,,Indeterminate,none
*1/*112,,Indeterminate,none
*1/*113,,Indeterminate,none
*1/*114,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*115,,Indeterminate,none
*1/*116,,Indeterminate,none
*1/*117,,Indeterminate,none
*1/*118,,Indeterminate,none
*1/*119,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*120,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*121,,Indeterminate,none
*1/*122,,Indeterminate,none
*1/*123,,Indeterminate,none
*1/*124,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*125,,Indeterminate,none
*1/*126,,Indeterminate,none
*1/*127,,Indeterminate,none
*1/*128,,Indeterminate,none
*1/*129,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*130,,Indeterminate,none
*1/*131,,Indeterminate,none
*1/*132,1.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1/*133,,Indeterminate,none
*1/*134,,Indeterminate,none
*1/*135,,Indeterminate,none
*1/*136,,Indeterminate,none
*1/*137,,Indeterminate,none
*1/*138,,Indeterminate,none
*1/*139,,Indeterminate,none
*1/*140,,Indeterminate,none
*1/*141,,Indeterminate,none
*1/*142,,Indeterminate,none
*1/*143,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*144,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*145,,Indeterminate,none
*1/*146,,Indeterminate,none
*1/*146x2,,Indeterminate,none
*1/*147,,Indeterminate,none
*1/*148,,Indeterminate,none
*1/*149,,Indeterminate,none
*1/*152,,Indeterminate,none
*1/*153,,Indeterminate,none
*1/*154,,Indeterminate,none
*1/*155,,Indeterminate,none
*1/*156,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*157,,Indeterminate,none
*1/*158,,Indeterminate,none
*1/*159,,Indeterminate,none
*1/*160,,Indeterminate,none
*1/*161,1.0,Intermediate Metabolizer,Abnormal/Priority/High Risk
*1/*162,,Indeterminate,none
*1/*163,,Indeterminate,none
*1x2/*1x2,4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*1x≥3,≥5.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*2x2,4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*2x≥3,≥5.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*3,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*3x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*4,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*4x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*4x≥3,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*5,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*6,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*6x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*7,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*8,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*9,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*9x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*10,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*10x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*11,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*12,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*13,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*13+*1,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*13+*1x2,4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*13+*2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*13+*68x2+*4,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*14,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*15,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*17,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*17x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*18,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*19,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*20,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*21,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*22,,Indeterminate,none
*1x2/*23,,Indeterminate,none
*1x2/*24,,Indeterminate,none
*1x2/*25,,Indeterminate,none
*1x2/*26,,Indeterminate,none
*1x2/*27,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*27x2,4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*28,,Indeterminate,none
*1x2/*28x2,,Indeterminate,none
*1x2/*29,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*29x2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*30,,Indeterminate,none
*1x2/*31,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*32,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*33,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*34,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*35,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*35x2,4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*36,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*36+*10,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*36+*10x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*36x2,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*36x2+*10,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*36x2+*10x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*37,,Indeterminate,none
*1x2/*38,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*39,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*40,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*41,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*41x2,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*41x3,2.75,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*42,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*43,,Indeterminate,none
*1x2/*43x2,,Indeterminate,none
*1x2/*44,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*45,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*45x2,4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*46,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*47,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*48,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*49,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*50,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*51,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*52,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*53,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*54,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*55,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*56,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*58,,Indeterminate,none
*1x2/*59,2.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*60,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*61,,Indeterminate,none
*1x2/*62,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*63,,Indeterminate,none
*1x2/*64,,Indeterminate,none
*1x2/*65,,Indeterminate,none
*1x2/*68,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*68+*2,3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x2/*68+*4,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*69,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*70,,Indeterminate,none
*1x2/*71,,Indeterminate,none
*1x2/*72,,Indeterminate,none
*1x2/*73,,Indeterminate,none
*1x2/*74,,Indeterminate,none
*1x2/*75,,Indeterminate,none
*1x2/*81,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*82,,Indeterminate,none
*1x2/*83,,Indeterminate,none
*1x2/*84,,Indeterminate,none
*1x2/*85,,Indeterminate,none
*1x2/*86,,Indeterminate,none
*1x2/*87,,Indeterminate,none
*1x2/*88,,Indeterminate,none
*1x2/*89,,Indeterminate,none
*1x2/*90,,Indeterminate,none
*1x2/*91,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*92,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*93,,Indeterminate,none
*1x2/*94,,Indeterminate,none
*1x2/*95,,Indeterminate,none
*1x2/*96,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*97,,Indeterminate,none
*1x2/*98,,Indeterminate,none
*1x2/*99,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*100,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*101,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*102,,Indeterminate,none
*1x2/*103,,Indeterminate,none
*1x2/*104,,Indeterminate,none
*1x2/*105,,Indeterminate,none
*1x2/*106,,Indeterminate,none
*1x2/*107,,Indeterminate,none
*1x2/*108,,Indeterminate,none
*1x2/*109,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*110,,Indeterminate,none
*1x2/*111,,Indeterminate,none
*1x2/*112,,Indeterminate,none
*1x2/*113,,Indeterminate,none
*1x2/*114,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*115,,Indeterminate,none
*1x2/*116,,Indeterminate,none
*1x2/*117,,Indeterminate,none
*1x2/*118,,Indeterminate,none
*1x2/*119,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*120,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*121,,Indeterminate,none
*1x2/*122,,Indeterminate,none
*1x2/*123,,Indeterminate,none
*1x2/*124,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*125,,Indeterminate,none
*1x2/*126,,Indeterminate,none
*1x2/*127,,Indeterminate,none
*1x2/*128,,Indeterminate,none
*1x2/*129,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*130,,Indeterminate,none
*1x2/*131,,Indeterminate,none
*1x2/*132,2.25,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*133,,Indeterminate,none
*1x2/*134,,Indeterminate,none
*1x2/*135,,Indeterminate,none
*1x2/*136,,Indeterminate,none
*1x2/*137,,Indeterminate,none
*1x2/*138,,Indeterminate,none
*1x2/*139,,Indeterminate,none
*1x2/*140,,Indeterminate,none
*1x2/*141,,Indeterminate,none
*1x2/*142,,Indeterminate,none
*1x2/*143,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*144,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*145,,Indeterminate,none
*1x2/*146,,Indeterminate,none
*1x2/*146x2,,Indeterminate,none
*1x2/*147,,Indeterminate,none
*1x2/*148,,Indeterminate,none
*1x2/*149,,Indeterminate,none
*1x2/*152,,Indeterminate,none
*1x2/*153,,Indeterminate,none
*1x2/*154,,Indeterminate,none
*1x2/*155,,Indeterminate,none
*1x2/*156,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*157,,Indeterminate,none
*1x2/*158,,Indeterminate,none
*1x2/*159,,Indeterminate,none
*1x2/*160,,Indeterminate,none
*1x2/*161,2.0,Normal Metabolizer,Normal/Routine/ Low Risk
*1x2/*162,,Indeterminate,none
*1x2/*163,,Indeterminate,none
*1x≥3/*1x≥3,≥6.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*2,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*2x2,≥5.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*2x≥3,≥6.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*3,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*3x2,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*4,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*4x2,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*4x≥3,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*5,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*6,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*6x2,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*7,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*8,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*9,≥3.25,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*9x2,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*10,≥3.25,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*10x2,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*11,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*12,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*13,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*13+*1,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*13+*1x2,≥5.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*13+*2,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*13+*68x2+*4,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*14,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*15,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*17,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*17x2,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*18,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*19,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*20,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*21,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*22,,Indeterminate,none
*1x≥3/*23,,Indeterminate,none
*1x≥3/*24,,Indeterminate,none
*1x≥3/*25,,Indeterminate,none
*1x≥3/*26,,Indeterminate,none
*1x≥3/*27,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*27x2,≥5.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*28,,Indeterminate,none
*1x≥3/*28x2,,Indeterminate,none
*1x≥3/*29,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*29x2,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*30,,Indeterminate,none
*1x≥3/*31,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*32,≥3.25,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*33,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*34,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*35,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*35x2,≥5.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36+*10,≥3.25,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36+*10x2,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36x2,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36x2+*10,≥3.25,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*36x2+*10x2,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*37,,Indeterminate,none
*1x≥3/*38,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*39,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*40,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*41,≥3.25,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*41x2,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*41x3,≥3.75,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*42,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*43,,Indeterminate,none
*1x≥3/*43x2,,Indeterminate,none
*1x≥3/*44,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*45,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*45x2,≥5.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*46,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*47,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*48,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*49,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*50,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*51,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*52,≥3.25,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*53,≥4.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*54,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*55,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*56,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*58,,Indeterminate,none
*1x≥3/*59,≥3.5,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
*1x≥3/*60,≥3.0,Ultrarapid Metabolizer,Abnormal/Priority/High Risk
